height,weight,handson,rich ,experience,y
42,19,75,60,13,0
93,19,96,47,59,1
50,61,75,78,83,1
11,9,11,77,94,0
21,13,69,34,32,0
29,12,48,9,45,0
54,35,90,94,44,1
87,51,76,27,31,1
49,23,60,99,21,0
40,41,92,60,41,0
97,65,60,46,9,1
9,51,19,9,45,0
7,3,35,12,96,0
25,47,95,17,98,0
2,83,74,70,22,1
92,4,11,42,25,0
35,55,51,1,79,1
27,80,53,4,60,1
5,100,26,25,37,0
80,96,92,89,35,1
28,43,58,27,83,0
63,25,63,79,74,1
87,54,51,94,59,1
15,23,13,61,19,0
9,91,13,37,93,0
73,45,82,34,7,0
76,38,36,68,56,1
75,24,91,57,38,1
68,49,63,4,100,1
38,91,70,33,93,1
95,54,36,90,5,1
62,87,65,75,49,1
13,40,10,99,80,0
41,28,13,4,70,0
44,18,23,84,59,0
85,78,3,21,13,0
2,59,25,58,58,1
81,68,55,44,12,1
2,27,72,90,1,0
59,37,72,37,53,1
91,41,37,80,39,0
98,62,93,39,46,1
54,45,99,58,83,1
10,73,89,58,74,1
27,13,67,84,95,1
77,42,88,70,59,1
5,6,66,68,66,1
22,33,73,14,67,0
34,82,93,17,13,0
46,29,45,43,69,0
49,17,53,49,66,0
5,23,13,54,11,0
49,4,45,3,27,0
78,53,88,92,28,1
4,9,74,81,42,0
97,76,80,53,26,1
63,54,76,85,25,1
51,39,40,42,92,0
88,16,84,51,79,1
81,17,12,5,35,0
57,45,34,14,95,0
92,10,77,9,70,1
69,30,48,79,78,1
68,70,21,57,29,1
16,18,62,5,88,0
78,19,13,100,55,1
66,91,50,89,74,1
68,39,27,35,57,0
49,32,94,53,95,1
50,23,39,60,96,0
24,28,16,32,69,0
66,61,94,80,21,1
11,81,17,81,32,0
58,72,9,24,85,1
56,61,69,25,57,1
2,31,50,95,53,0
38,98,89,80,2,1
77,61,85,49,68,1
66,74,10,72,65,1
58,1,84,53,3,1
48,32,98,97,82,1
2,10,90,88,17,0
20,25,25,2,6,0
37,96,70,55,8,1
90,63,71,65,96,1
80,88,61,99,59,1
74,42,16,1,97,0
72,32,69,64,84,1
69,49,71,3,22,0
15,71,42,89,49,0
29,92,21,6,80,0
42,16,62,9,63,0
65,2,46,66,78,1
25,19,81,84,66,1
33,23,33,15,76,0
77,17,29,34,17,0
27,89,65,12,16,0
34,30,51,41,14,0
80,36,96,60,67,1
65,47,49,29,17,0
9,36,7,73,37,0
62,34,63,47,7,0
6,24,41,1,62,0
26,1,35,93,74,0
12,5,51,55,71,1
18,21,24,35,35,0
97,44,6,74,37,0
46,90,37,65,7,0
84,94,89,23,92,1
86,53,53,44,35,1
62,28,95,43,53,1
24,47,93,76,74,1
95,8,28,22,40,0
95,55,64,16,94,1
93,79,24,36,46,0
36,86,35,49,40,0
68,31,65,17,89,1
8,16,70,54,36,0
11,44,77,93,82,1
99,68,49,44,58,1
49,71,95,55,82,1
3,19,41,32,75,0
9,99,73,28,18,0
52,4,78,92,63,1
72,89,19,70,92,1
75,16,29,47,86,0
60,96,73,73,46,1
3,85,32,89,31,0
57,93,22,32,47,0
51,54,81,84,72,1
84,49,57,50,4,0
77,44,43,9,27,0
13,94,70,28,25,0
16,73,3,93,3,0
93,94,7,46,47,0
61,82,82,40,89,1
88,90,72,26,58,1
49,81,19,43,78,0
9,64,59,82,22,1
94,76,84,99,14,1
96,61,5,7,39,0
6,73,86,95,69,1
2,68,51,65,41,1
38,98,76,36,50,0
73,58,97,42,23,1
71,19,43,98,85,1
24,75,38,36,50,0
97,58,32,54,57,1
67,18,78,53,55,1
56,44,21,25,12,0
95,5,47,39,23,0
89,62,82,13,10,1
68,76,75,58,49,1
38,53,26,67,15,0
90,36,44,70,34,0
59,70,1,77,32,1
49,39,33,85,8,0
28,83,83,98,77,1
27,86,64,88,11,1
2,86,33,83,80,1
51,32,22,10,84,0
7,100,11,21,55,0
87,21,20,6,6,0
30,22,34,42,23,0
62,95,64,68,50,1
72,45,47,55,22,0
27,28,49,51,28,0
45,64,89,74,78,1
14,98,12,66,75,1
2,70,60,74,2,1
80,9,55,77,56,1
93,8,78,39,13,0
6,75,33,8,87,0
24,61,31,93,0,0
76,61,37,98,43,1
18,33,10,15,3,0
58,41,13,7,92,0
72,17,31,36,57,0
32,25,26,72,98,0
42,87,55,29,20,0
61,5,61,26,38,0
65,77,79,61,63,1
25,40,77,99,94,1
87,62,67,84,65,1
99,54,33,18,68,1
56,1,30,30,17,0
99,97,97,66,24,1
63,14,59,19,71,1
75,19,10,20,48,0
59,69,49,79,34,1
47,31,92,77,78,1
77,38,21,50,24,0
59,84,79,23,11,1
26,49,5,85,82,0
67,61,6,95,61,1
39,94,43,33,88,0
